ta_check,description
Amazon RDS autovacuum parameter is turned off,"Description: The autovacuum parameter is turned off for your DB instances. Turning autovacuum off increases the table and index bloat and impacts the performance.


We recommend that you turn on autovacuum in your DB parameter groups.

Alert Criteria
Yellow: DB parameter groups have autovacuum turned off

Recommended Action
Turn on the autovacuum parameter in your DB parameter groups

Additional Resources

PostgreSQL database requires periodic maintenance which is known as vacuuming. Autovacuum in PostgreSQL automates running VACCUUM and ANALYZE commands. This process gathers the table statistics and deletes the dead rows. When autovacuum is turned off, the increase of the table, index bloat, stale statistics will impact the database performance.

For more information, please refer to the AWS Public documentation on: `Understanding autovacuum in Amazon RDS for PostgreSQL environments"
Amazon RDS parameter groups not using huge pages,"Description: Large pages can increase database scalability, but your DB instance isn't using large pages. We recommend that you set the use_large_pages parameter value to ONLY in the DB parameter group for your DB instance.

Alert Criteria
Yellow: DB parameter groups don't use large pages

Recommended Action
Set the use_large_pages parameter value to ONLY in your DB parameter groups

Additional Resources



For more information, please refer to the AWS Public documentation on: Turning on HugePages for an RDS for Oracle instance"
Amazon RDS log_output parameter is set to table,"Description: When log_output is set to TABLE, more storage is used than when log_output is set to FILE. We recommend that you set the parameter to FILE, to avoid reaching the storage size limit.

Alert Criteria
Yellow: DB parameter groups have log_output parameter set to 'table'

Recommended Action
Set the log_output parameter value to FILE in your DB parameter groups

Additional Resources



For more information, please refer to the AWS Public documentation on: `MySQL database log files"
Amazon RDS query cache parameter is turned on,"Description: When changes require that your query cache is purged, your DB instance will appear to stall. Most workloads don't benefit from a query cache. The query cache was removed from MySQL version 8.0.  We recommend that you set the query_cache_type parameter to 0.

Alert Criteria
Yellow: DB parameter groups have query cache turned on

Recommended Action
Set the query_cache_type parameter value to 0 in your DB parameter groups

Additional Resources



For more information, please refer to the AWS Public documentation on: ``Best practices for configuring performance parameters for Amazon RDS for MySQL`"
IAM Password Policy,"Description: Checks the password policy for your account and warns when a password policy is not enabled, or if password content requirements have not been enabled. Password content requirements increase the overall security of your AWS environment by enforcing the creation of strong user passwords. When you create or change a password policy, the change is enforced immediately for new users but does not require existing users to change their passwords. 

Alert Criteria
Green: A password policy is enabled with recommended content requirement enabled.
Yellow: A password policy is enabled, but at least one content requirement is not enabled.  
Red: No password policy is enabled. 

Recommended Action
If some content requirements are not enabled, consider enabling them. If no password policy is enabled, create and configure one. See Setting an Account Password Policy for IAM Users.
To access the AWS Management Console, IAM users need passwords. As a best practice, AWS highly recommends that instead of creating IAM users, you use federation. Federation allows users to use their existing corporate credentials to log into the AWS Management Console. Use AWS IAM Identity Center to create or federate the user, and then assume an IAM role into an account.
To learn more about identity providers and federation, see Identity providers and federation in the IAM User Guide. To learn more about IAM Identity Center, see the AWS IAM Identity Center User Guide. 

Additional Resources
Managing Passwords"
Route 53 Traffic Policy Instances,"Description: Checks for usage that is more than 80% of the Route 53 Traffic Policy Instances Limit per account. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
Route 53 Limits"
Amazon RDS enable_indexscan parameter is turned off,"Description: The query planner or optimizer can't use the index scan plan type when it is turned off.


We recommend that you set the enable_indexscan parameter value to 1.

Alert Criteria
Yellow: DB parameter groups have indexscan parameter turned off

Recommended Action
Set the parameter enable_indexscan to 1

Additional Resources

When you turn off enable_indexscan parameter, it prevents the query planner from selecting an optimal execution plan. The query planner uses a different plan type, such as sequential scan which may increase the query cost and execution time.

For more information, please refer to the AWS Public documentation on: `Planner Method Configuration for PostgreSQL"
Amazon RDS enable_indexonlyscan parameter is turned off,"Description: The query planner or optimizer can't use the index-only scan plan type when it is turned off.


We recommend that you set the enable_indexonlyscan parameter value to 1.

Alert Criteria
Yellow: DB parameter groups have indexonlyscan parameter turned off

Recommended Action
Set the parameter enable_indexonlyscan to 1

Additional Resources

When you turn off enable_indexonlyscan parameter, it prevents the query planner from selecting an optimal execution plan. The query planner uses a different plan type, such as index scan which can increase the query cost and execution time. The index only scan plan type retrieves the data without accessing the table data.

For more information, please refer to the AWS Public documentation on: `Planner Method Configuration for PostgreSQL"
Amazon RDS track_counts parameter is turned off,"Description: When the track_counts parameter is turned off, the database doesn't collect the database activity statistics. Autovacuum requires these statistics to work correctly.
 
We recommend that you set track_counts parameter to 1

Alert Criteria
Yellow: DB parameter groups have track_counts parameter turned off

Recommended Action
Set track_counts parameter to 1

Additional Resources

When track_counts parameter is turned off, it disables the collection of database activity statistics. The autovacuum daemon requires the collected statistics to identify the tables for autovacuum and autoanalyze.

For more information, please refer to the AWS Public documentation on: `Run-time Statistics for PostgreSQL"
Amazon RDS synchronous_commit parameter is turned off,"Description: When synchronous_commit parameter is turned off, data can be lost in a database crash. The durability of the database is at risk.


We recommend that you turn on the synchronous_commit parameter.

Alert Criteria
Red: DB parameter groups have synchronous_commit parameter turned off

Recommended Action
Turn on synchronous_commit parameter in your DB parameter groups

Additional Resources

The synchronous_commit parameter defines the Write-Ahead Logging (WAL) process completion before the database server sends a successful notification to the client. This commit is called as an asynchronous commit because the client acknowledges the commit before WAL saves the transaction in the disk.If synchronous_commit parameter is turned off, the transactions can be lost, DB instance durability may be compromised, and data may be lost when a database crashes.

For more information, please refer to the AWS Public documentation on: Amazon Aurora PostgreSQL parameters: Replication, security, and logging"
Auto Scaling Launch Configurations,"Description: Checks for usage that is more than 80% of the Auto Scaling Launch Configurations Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
Auto Scaling Limits"
Classic Load Balancer Security Groups,"Description: Checks for classic load balancers configured with a security group that allows access to ports that are not configured for the load balancer. If a security group associated with a load balancer is deleted, the load balancer does not work as expected. If a security group allows access to ports that are not configured for the load balancer, the risk of loss of data or malicious attacks increases. 

Alert Criteria
Yellow: The inbound rules of an Amazon VPC security group associated with a load balancer allow access to ports that are not defined in the load balancer's listener configuration. 
Green: The inbound rules of an Amazon VPC security group associated with a load balancer do not allow access to ports that are not defined in the load balancers listener configuration.

Recommended Action
Consider migrating to an Application or Network load balancers depending your application needs. For information about the different features of each load balancer type, see Comparison of Elastic Load Balancing products
.Configure the security group rules to restrict access to only those ports and protocols that are defined in the load balancer listener configuration, plus the ICMP protocol to support Path MTU Discovery. See Listeners for Your Classic Load Balancer and Security Groups for Load Balancers in a VPC.
If a security group is missing, apply a new security group to the load balancer. Create security group rules that restrict access to only those ports and protocols that are defined in the load balancer listener configuration. See Security Groups for Load Balancers in a VPC. 

Additional Resources
Elastic Load Balancing User Guide 
Migrate your Classic Load Balancer
Configure Your Classic Load Balancer"
Amazon Route 53 Failover Resource Record Sets,"Description: Checks for Amazon Route 53 failover resource record sets that are misconfigured. When Amazon Route 53 health checks determine that the primary resource is unhealthy, Amazon Route 53 responds to queries with a secondary, backup resource record set. You must create correctly configured primary and secondary resource record sets for failover to work. Hosted zones created by AWS services won’t appear in your check results.

Alert Criteria
Yellow: A primary failover resource record set does not have a corresponding secondary resource record set.
Yellow: A secondary failover resource record set does not have a corresponding primary resource record set.
Yellow: Primary and secondary resource record sets that have the same name are associated with the same health check.

Recommended Action
If a failover resource set is missing, create the corresponding resource record set; see Creating Failover Resource Record Sets.
If your resource record sets are associated with the same health check, create separate health checks for each one; see Creating, Updating, and Deleting Health Checks.

Additional Information
Amazon Route 53 Health Checks and DNS Failover"
CloudFront Custom SSL Certificates in the IAM Certificate Store,"Description: Checks the SSL certificates for CloudFront alternate domain names in the IAM certificate store and alerts you if the certificate is expired, will soon expire, uses outdated encryption, or is not configured correctly for the distribution. When a custom certificate for an alternate domain name expires, browsers that display your CloudFront content might show a warning message about the security of your website. Certificates that are encrypted by using the SHA-1 hashing algorithm are being deprecated by most web browsers such as Chrome and Firefox.  If a certificate doesn't contain any domain names that match either Origin Domain Name or the domain name in the Host header of viewer requests, CloudFront returns an HTTP status code 502 (bad gateway) to the user. For more information, see Using Alternate Domain Names and HTTPS.

Alert Criteria
Red: A custom SSL certificate is expired.
Yellow: A custom SSL certificate expires in the next seven days.
Yellow: A custom SSL certificate was encrypted by using the SHA-1 hashing algorithm.
Yellow: One or more of the alternate domain names in the distribution don't appear either in the Common Name field or the Subject Alternative Names field of the custom SSL certificate.
Green: A custom SSL certificate is valid.

Recommended Action
We recommend using AWS Certificate Manager (ACM) to provision, manage, and deploy your server certificates. With ACM, you can request a new certificate or deploy an existing ACM or external certificate to AWS resources. Certificates provided by ACM are free and can be automatically renewed. For more information about using ACM, see the AWS Certificate Manager User Guide. To check Regions ACM supports, see AWS Certificate Manager endpoints and quotas in the AWS General Reference.
Renew expired certificates or certificates that are about to expire. For more information on renewing a certificate see Managing server certificates in IAM.
Replace a certificate that was encrypted by using the SHA-1 hashing algorithm with a certificate that is encrypted by using the SHA-256 hashing algorithm.
Replace the certificate with a certificate that contains the applicable values in the Common Name or Subject Alternative Domain Names fields.

Additional Resources
Using an HTTPS Connection to Access Your Objects
Importing Certificates
AWS Certificate Manager User Guide"
Amazon DocumentDB manual cluster snapshots should not be public,"Description: Checks if an Amazon DocumentDB manual snapshot is public. The check fails if the manual snapshot is public.

Source
AWS Security Hub
Security Hub Control Id: DocumentDB.3

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon DocumentDB clusters should publish audit logs to CloudWatch Logs,"Description: Checks if a DocumentDB cluster publishes audit logs to Amazon CloudWatch Logs. The check fails if a DocumentDB cluster doesn't publish audit logs to CloudWatch Logs.

Source
AWS Security Hub
Security Hub Control Id: DocumentDB.4

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Amazon DocumentDB clusters should have deletion protection enabled,"Description: Checks if an Amazon Document DB cluster has deletion protection enabled. This check fails if the cluster doesn't have deletion protection enabled.

Source
AWS Security Hub
Security Hub Control Id: DocumentDB.5

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
DMS replication instances should have automatic minor version upgrade enabled,"Description: Checks if automatic minor version upgrade is enabled for an AWS DMS replication instance. The check fails if automatic minor version upgrade isn't enabled for a DMS replication instance.

Source
AWS Security Hub
Security Hub Control Id: DMS.6

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS Lambda Functions Using Deprecated Runtimes,"Description: Checks for Lambda functions whose $LATEST version is configured to use a runtime that is approaching deprecation, or is deprecated. Deprecated runtimes are not eligible for security updates or technical support
Alert CriteriaRed: The function's $LATEST version is configured to use a runtime that is already deprecated.

Yellow: The function's $LATEST version is running on a runtime that will be deprecated within 180 days.Recommended ActionIf you have functions that are running on a runtime that is approaching deprecation, you should prepare for migration to a supported runtime. For more information, see Runtime support policy.

We recommend that you delete earlier function versions that you’re no longer using.
Additional ResourcesLambda runtimes
"
AWS Lambda VPC-enabled Functions without Multi-AZ Redundancy,"Description: Checks the $LATEST version of VPC-enabled Lambda functions that are vulnerable to service interruption in a single Availability Zone. It's a best practice that VPC-enabled functions are connected to multiple Availability Zones for high availability.
Alert CriteriaYellow: The $LATEST version of a VPC-enabled Lambda function is connected to subnets in a single Availability Zone.Recommended ActionWhen you configure functions for access to your VPC, choose subnets in multiple Availability Zones for high availability.
Additional ResourcesConfiguring a Lambda function to access resources in a VPC

Resilience in AWS Lambda
"
Neptune DB cluster snapshots should be encrypted at rest,"Description: Checks if a Neptune DB cluster snapshot is encrypted at rest. The check fails if a Neptune DB cluster isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: Neptune.6

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Neptune DB clusters should have IAM database authentication enabled,"Description: Checks if a Neptune DB cluster has IAM database authentication enabled. The check fails if IAM database authentication isn't enabled for a Neptune DB cluster.

Source
AWS Security Hub
Security Hub Control Id: Neptune.7

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Neptune DB clusters should be configured to copy tags to snapshots,"Description: Checks if a Neptune DB cluster is configured to copy tags to snapshots when the snapshots are created. The check fails if a Neptune DB cluster isn't configured to copy tags to snapshots.

Source
AWS Security Hub
Security Hub Control Id: Neptune.8

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB clusters should be encrypted at rest,"Description: Checks if an RDS DB cluster is encrypted at rest. The check fails if an RDS DB cluster isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: RDS.27

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
ECS task definitions should have a logging configuration,"Description: Checks if the latest active Amazon ECS task definition has a logging configuration specified. The check fails if the task definition doesn't have the logConfiguration property defined or if the value for logDriver is null in at least one container definition.

Source
AWS Security Hub
Security Hub Control Id: ECS.9

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Network Firewall logging should be enabled,"Description: Checks if logging is enabled for an AWS Network Firewall firewall. The check fails if logging isn't enabled for at least one log type or if the logging destination doesn't exist.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.2

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
CloudFront Alternate Domain Names,"Description: Checks Amazon CloudFront distributions for alternate domain names (CNAMES) that have incorrectly configured DNS settings. If a CloudFront distribution includes alternate domain names, the DNS configuration for the domains must route DNS queries to that distribution.

Note: This check assumes Amazon Route 53 DNS and Amazon CloudFront distribution are configured in the same AWS account. As such the Alert list may include resources otherwise working as expected due to DNS setting outsides of this AWS account.

Alert Criteria
Yellow: A CloudFront distribution includes alternate domain names, but the DNS configuration is not correctly set up with a CNAME record or an Amazon Route 53 alias resource record.
Yellow: A CloudFront distribution includes alternate domain names, but Trusted Advisor could not evaluate the DNS configuration because there were too many redirects.
Yellow: A CloudFront distribution includes alternate domain names, but Trusted Advisor could not evaluate the DNS configuration for some other reason, most likely because of a timeout.

Recommended Action
Update the DNS configuration to route DNS queries to the CloudFront distribution; see Using Alternate Domain Names (CNAMEs). If you're using Amazon Route 53 as your DNS service, see Routing Traffic to an Amazon CloudFront Web Distribution by Using Your Domain Name. If the check timed out, try refreshing the check.

Additional Resources
Amazon CloudFront Developer Guide"
AWS AppSync GraphQL APIs should not be authenticated with API keys,"Description: Checks if your application uses an API key to interact with an AWS AppSync GraphQL API. The check fails if an AWS AppSync GraphQL API is authenticated with an API key.

Source
AWS Security Hub
Security Hub Control Id: AppSync.5

Alert Criteria
Red: Critical or High Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
AWS Backup recovery points should be encrypted at rest,"Description: Checks if an AWS Backup recovery point is encrypted at rest. The check fails if the recovery point isn't encrypted at rest.

Source
AWS Security Hub
Security Hub Control Id: Backup.1

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Network Firewall firewalls should have deletion protection enabled,"Description: Checks if an AWS Network Firewall firewall has deletion protection enabled. The check fails if deletion protection isn't enabled for a firewall.

Source
AWS Security Hub
Security Hub Control Id: NetworkFirewall.9

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
DMS replication tasks for the target database should have logging enabled,"Description: Checks if logging is enabled with the minimum severity level of LOGGER_SEVERITY_DEFAULT for DMS replication task events TARGET_APPLY and TARGET_LOAD. The check fails if logging isn't enabled for these events or if the minimum severity level is less than LOGGER_SEVERITY_DEFAULT.

Source
AWS Security Hub
Security Hub Control Id: DMS.7

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
DMS replication tasks for the source database should have logging enabled,"Description: The check assesses if logging is enabled with the minimum severity level of LOGGER_SEVERITY_DEFAULT for DMS replication task events SOURCE_CAPTURE and SOURCE_UNLOAD. The check fails if logging isn't enabled for these events of the source database or if the minimum severity level is less than LOGGER_SEVERITY_DEFAULT.

Source
AWS Security Hub
Security Hub Control Id: DMS.8

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
DMS endpoints should use SSL,"Description: Checks if an AWS DMS endpoint uses an SSL connection. The check fails if the endpoint doesn't use SSL.

Source
AWS Security Hub
Security Hub Control Id: DMS.9

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
EventBridge custom event buses should have a resource-based policy attached,"Description: Checks if an Amazon EventBridge custom event bus has a resource policy attached. This check fails if the custom event bus doesn't have a resource policy.

Source
AWS Security Hub
Security Hub Control Id: EventBridge.3

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Route 53 public hosted zones should log DNS queries,"Description: Checks if DNS query logging is enabled for an Amazon Route 53 public hosted zone. The check fails if DNS query logging isn't enabled for a Route 53 public hosted zone.

Source
AWS Security Hub
Security Hub Control Id: Route53.2

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
Aurora MySQL DB clusters should publish audit logs to CloudWatch Logs,"Description: Checks if an Amazon Aurora MySQL DB cluster is configured to publish audit logs to Amazon CloudWatch Logs. The check fails if the cluster isn’t configured to publish audit logs to CloudWatch Logs.

Source
AWS Security Hub
Security Hub Control Id: RDS.34

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
RDS DB clusters should have automatic minor version upgrade enabled,"Description: Checks if automatic minor version upgrade is enabled for an Amazon RDS database cluster. This check fails if automatic minor version upgrade isn't enabled for an RDS cluster.

Source
AWS Security Hub
Security Hub Control Id: RDS.35

Alert Criteria
Yellow: Medium or Low Security Hub control failed.

Recommended Action
Follow the Security Hub documentation to fix the issue."
ELB Network Load Balancers,"Description: Checks for usage that is more than 80% of the ELB Network Load Balancers Limit. Classic Load Balancers and Application Load Balancers have separate limits. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
AWS Service Limits - Elastic Load Balancing default service limits"
AWS Lambda Functions with High Error Rates,"Description: Checks for Lambda functions with high error rates that may result in high cost. Lambda charges based on the number of requests and aggregate execution time for your function. Function errors may cause retries that incur additional charges.
Note: Results for this check are automatically refreshed several times daily, and refresh requests are not allowed. It might take a few hours for changes to appear.

Alert Criteria
Yellow: Functions where > 10% of invocations end in error on any given day within the last 7 days.

Recommended Action
Consider the following guidelines to reduce errors. Function errors include errors returned by the function's code and errors returned by the function's runtime. To help you troubleshoot Lambda errors, Lambda integrates with services like Amazon CloudWatch and AWS X-Ray. You can use a combination of logs, metrics, alarms, and X-ray tracing to quickly detect and identify issues in your function code, API, or other resources that support your application. For more information, see Monitoring and troubleshooting Lambda applications. For more information on handling errors with specific runtimes, see Error handling and automatic retries in AWS Lambda. For additional troubleshooting, see Troubleshooting issues in Lambda.You can also choose from an ecosystem of monitoring and observability tools provided by AWS Lambda partners. For additional information about Partners, see AWS Lambda Partners.

Additional Resources
Error Handling and Automatic  Retries in AWS Lambda
Monitoring and Troubleshooting Lambda applications
Lambda Function Retry Timeout SDK
Troubleshooting  issues in Lambda
API Invoke Errors
Error Processor Sample Application for AWS Lambda
"
AWS Lambda Functions with Excessive Timeouts,"Description: Checks for Lambda functions with high timeout rates that may result in high cost. Lambda charges based on execution time for your function and number of requests for your function. Function timeouts result in function errors that may cause retries that incur additional request and execution time charges.
Note: Results for this check are automatically refreshed several times daily, and refresh requests are not allowed. It might take a few hours for changes to appear.

Alert Criteria
Yellow: Functions where > 10% of invocations end in an error due to a timeout on any given day within the last 7 days.

Recommended Action
Inspect function logging and X-ray traces to determine the contributor to the high function duration. Implement logging in your code at relevant parts, such as before or after API calls or database connections. By default, AWS SDK clients timeouts may be longer than the configured function duration. Adjust API and SDK connection clients to retry or fail within the function timeout. If the expected duration is longer than the configured timeout, you can increase the timeout setting for the function. For more information, see Monitoring and troubleshooting Lambda applications.

Additional Resources
Monitoring and troubleshooting Lambda applications
Lambda Function Retry Timeout SDK
Using AWS Lambda with AWS X-Ray
Accessing Amazon CloudWatch logs for AWS Lambda
Error Processor Sample Application for AWS Lambda
"
Route 53 Max Health Checks,"Description: Checks for usage that is more than 80% of the Route 53 Health Checks Limit per account. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
Route 53 Limits"
RDS DB Manual Snapshots,"Description: Checks for usage that is more than 80% of the RDS DB Manual Snapshots Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
RDS Limits"
Amazon Aurora DB Instance Accessibility,"Description: Checks for cases where an Amazon Aurora DB cluster has both private and public instances. When your primary instance fails, a replica can be promoted to a primary instance. If that replica is private, users who have only public access would no longer be able to connect to the database after failover. It's best practice for all the DB instances in a cluster to have the same accessibility.

Alert Criteria
Yellow: The instances in an Aurora DB cluster have different accessibility (a mix of public and private).

Recommended Action
Modify the Publicly Accessible setting of the instances in the DB cluster so that they are all either public or private. For details, see the instructions for MySQL instances at Modifying a DB Instance Running the MySQL Database Engine.

Additional Resources
Fault Tolerance for an Aurora DB Cluster"
AWS Resilience Hub resilience scores,"Description: Checks if you have run an assessment for your applications in Resilience Hub. This check alerts you if your resilience scores are below a specific value. Results for this check are automatically refreshed once every day.

Alert Criteria
Green: Your application has a resilience score of 70 or greater.
Yellow: Your application has a resilience score of 40 through 69.
Yellow: The application hasn't been assessed yet.
Red: Your application has a resilience score of less than 40.

Recommended Action
Sign in to the Resilience Hub console and run an assessment for your application. Review the recommendations to improve the resilience score.

Additional Information
Resilience Hub concepts"
AWS Resilience Hub policy breached,"Description: Checks Resilience Hub for applications that don't meet the recovery time objective (RTO) and recovery point objective (RPO) that the policy defines. The check alerts you if your application doesn't meet the RTO and RPO objectives you've set for an application in Resilience Hub.

Alert Criteria
Green: The application has a policy and meets the RTO and RPO objectives.
Yellow: The application hasn't been assessed yet.
Red: The application has a policy but doesn't meet the RTO and RPO objectives.

Recommended Action
Sign in to the Resilience Hub console and review the recommendations, so that your application meets the RTO and RPO objectives.

Additional Information
Resilience Hub concepts"
AWS Resilience Hub assessment age,"Description: Checks how long since you last ran an application assessment. This check alerts you if you haven’t run an application assessment for a specified number of days.

Alert Criteria
Green: Your application assessment ran in the last 30 days.
Yellow: Your application assessment hasn't run in the last 30 days.

Recommended Action
Sign in to the Resilience Hub console and run an assessment for your application.

Additional Resources
Resilience Hub concepts"
AWS Resilience Hub Application Component check,"Description: Checks if an Application Component (AppComponent) in your application is unrecoverable. If an AppComponent doesn't recover in the case of a disruption event, you might experience unknown data loss and system downtime.
Alert CriteriaRed: AppComponent is unrecoverable.Recommended ActionTo ensure that your AppComponent is recoverable, review and implement the resiliency recommendations, and then run a new assessment. For more information about reviewing the resiliency recommendations, see Additional Resources.
Additional Resources
Reviewing resiliency recommendations

Resilience Hub concepts

AWS Resilience Hub User Guide

"
IAM Access Key Rotation,"Description: Checks for active IAM access keys that have not been rotated in the last 90 days.  When you rotate your access keys regularly, you reduce the chance that a compromised key could be used without your knowledge to access resources. For the purposes of this check, the last rotation date and time is when the access key was created or most recently activated. The access key number and date come from the access_key_1_last_rotated and access_key_2_last_rotated information in the most recent IAM credential report. Because the regeneration frequency of a credential report  is restricted, refreshing this check might not reflect recent changes (for details, see Getting Credential Reports for Your AWS Account).
In order to create and rotate access keys, a user must have the appropriate permissions. For more information, see Allow Users to Manage Their Own Passwords, Access Keys, and SSH Keys.

Alert Criteria
Green: The access key is active and has been rotated in the last 90 days.
Yellow: The access key is active and has been rotated in the last 2 years, but more than 90 days ago.
Red: The access key is active and has not been rotated in the last 2 years.

Recommended Action
Rotate access keys on a regular basis. See Rotating Access Keys and Managing Access Keys for IAM Users.

Additional Resources
IAM Best Practices
How to rotate access keys for IAM users (AWS blog)"
VPC Internet Gateways,"Description: Checks for usage that is more than 80% of the VPC Internet Gateways Limit. Values are based on a snapshot, so your current usage might differ. Limit and usage data can take up to 24 hours to reflect any changes. In cases where limits have been recently increased, you may temporarily see utilization that exceeds the limit.

Alert Criteria
Yellow: 80% of limit reached.
Red: 100% of limit reached.
Blue: Trusted Advisor was unable to retrieve utilization or limits in one or more regions.

Recommended Action
If you expect to exceed a service limit, request an increase directly from the Service Quotas console. If Service Quotas doesn’t support your service yet, you can create a support case in Support Center.

Additional Resources
VPC Gateway Limits"
Security Groups - Specific Ports Unrestricted,"Description: Checks security groups for rules that allow unrestricted access (0.0.0.0/0) to specific ports. Unrestricted access increases opportunities for malicious activity (hacking, denial-of-service attacks, loss of data). The ports with highest risk are flagged red, and those with less risk are flagged yellow. Ports flagged green are typically used by applications that require unrestricted access, such as HTTP and SMTP.
If you have intentionally configured your security groups in this manner, we recommend using additional security measures to secure your infrastructure (such as IP tables).

Note: This check only evaluates security groups that you create and their inbound rules for IPv4 addresses. Security groups created by AWS Directory Services are flagged as red or yellow, but they don’t pose a security risk and can be safely ignored or excluded. For more information, see the Trusted Advisor FAQ.

Note: This check does not include the use case when a customer managed prefix list grants access to 0.0.0.0/0 and is used as a source with a security group.

Alert Criteria
Green: Access to port 80, 25, 443, or 465 is unrestricted.
Red: Access to port 20, 21, 1433, 1434, 3306, 3389, 4333, 5432, or 5500 is unrestricted.
Yellow: Access to any other port is unrestricted.

Recommended Action
Restrict access to only those IP addresses that require it. To restrict access to a specific IP address, set the suffix to /32 (for example, 192.0.2.10/32). Be sure to delete overly permissive rules after creating rules that are more restrictive.

Additional Resources
Amazon EC2 Security Groups
List of TCP and UDP port numbers (Wikipedia)
Classless Inter-Domain Routing (Wikipedia)"
